
[host1.local] [28.01.2013 3:51:4] [status (error/ info)] [127.0.0.1] [GET] [/marcin] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [28.01.2013 3:52:48] [status (error/ info)] [127.0.0.1] [GET] [/dom] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [28.01.2013 3:53:10] [status (error/ info)] [127.0.0.1] [GET] [/komputer] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [28.01.2013 3:53:54] [status (error/ info)] [127.0.0.1] [GET] [/auto] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [28.01.2013 4:7:7] [status (error/ info)] [127.0.0.1] [GET] [/pjwstk] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [28.01.2013 4:10:44] [status (error/ info)] [127.0.0.1] [GET] [/pjwstkGDA] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [28.01.2013 4:19:22] [status (error/ info)] [127.0.0.1] [GET] [/nowe] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [28.01.2013 4:21:25] [status (error/ info)] [127.0.0.1] [GET] [/json] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [28.01.2013 12:6:30] [status (error/ info)] [127.0.0.1] [GET] [/pjwstk] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [28.01.2013 12:6:46] [status (error/ info)] [127.0.0.1] [GET] [/gdansk] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 2:35:5] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 3:57:14] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 3:57:43] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 3:58:56] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 3:59:26] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 4:0:0] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 4:0:6] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 4:0:13] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 4:0:40] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 4:0:59] [status (error/ info)] [192.168.0.13] [GET] [/ququ] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 4:27:9] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 4:27:17] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 4:37:28] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 5:10:23] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17] 
[host1.local] [29.01.2013 5:10:23] [status (error/ info)] [192.168.0.13] [GET] [/favicon.ico] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17] 
[host1.local] [29.01.2013 5:11:53] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 5:14:53] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 5:15:48] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 5:16:44] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 5:18:36] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [29.01.2013 5:18:44] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [30.01.2013 1:57:5] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17] 
[host1.local] [30.01.2013 1:57:5] [status (error/ info)] [192.168.0.13] [GET] [/favicon.ico] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17] 
